e1,rel,n
/m/010016,/common/topic/webpage./common/webpage/category,1
/m/0102t4,/location/location/time_zones,1
/m/0104lr,/common/topic/webpage./common/webpage/category,0
/m/0104lr,/location/hud_county_place/place,0
/m/0104lr,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,0
/m/0104lr,/location/location/time_zones,0
/m/0105y2,/base/biblioness/bibs_location/state,0
/m/0105y2,/common/topic/webpage./common/webpage/category,1
/m/0105y2,/location/location/time_zones,1
/m/0106dv,/location/hud_county_place/place,1
/m/0108xl,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,1
/m/0109vk,/location/location/time_zones,1
/m/010bnr,/location/hud_county_place/place,1
/m/010bxh,/location/location/time_zones,1
/m/010cw1,/location/hud_county_place/place,1
/m/010h9y,/common/topic/webpage./common/webpage/category,1
/m/010hn,/award/award_nominee/award_nominations./award/award_nomination/award,1
/m/010hn,/people/person/spouse_s./people/marriage/type_of_union,1
/m/010m55,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,1
/m/010p3,/film/actor/film./film/performance/film,1
/m/010p3,/people/person/profession,0
/m/010rvx,/location/hud_county_place/county,0
/m/010rvx,/location/hud_county_place/place,0
/m/010rvx,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,0
/m/010rvx,/location/location/time_zones,0
/m/010t4v,/location/location/time_zones,1
/m/010v8k,/base/biblioness/bibs_location/state,0
/m/010v8k,/common/topic/webpage./common/webpage/category,1
/m/010xjr,/award/award_nominee/award_nominations./award/award_nomination/award,1
/m/010xjr,/film/actor/film./film/performance/film,0
/m/010xjr,/people/person/nationality,1
/m/010xjr,/people/person/profession,1
/m/010y34,/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source,1
/m/010z5n,/common/topic/webpage./common/webpage/category,1
/m/010z5n,/location/location/time_zones,1
/m/0113sg,/people/person/gender,1
/m/0114m0,/location/hud_county_place/place,1
/m/0118d3,/location/hud_county_place/place,1
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award,1
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,1
/m/011_3s,/film/actor/film./film/performance/film,1
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,0
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,0
/m/011_vz,/award/award_nominee/award_nominations./award/award_nomination/award,0
/m/011hdn,/film/actor/film./film/performance/film,1
/m/011hdn,/people/person/profession,1
/m/011hdn,/people/person/spouse_s./people/marriage/type_of_union,1
/m/011hq1,/common/topic/webpage./common/webpage/category,1
/m/011j5x,/music/genre/artists,0
/m/011j5x,/music/genre/parent_genre,1
/m/011k11,/common/topic/webpage./common/webpage/category,1
/m/011k11,/music/record_label/artist,1
/m/011k1h,/music/record_label/artist,0
/m/011k_j,/music/instrument/instrumentalists,1
/m/011k_j,/music/performance_role/guest_performances./music/recording_contribution/performance_role,0
/m/011k_j,/music/performance_role/regular_performances./music/group_membership/group,0
/m/011k_j,/music/performance_role/regular_performances./music/group_membership/role,0
/m/011k_j,/music/performance_role/track_performances./music/track_contribution/role,0
/m/011kn2,/education/educational_institution/students_graduates./education/education/major_field_of_study,1
/m/011lpr,/people/person/nationality,1
/m/011lpr,/people/person/profession,1
/m/011lvx,/award/award_nominee/award_nominations./award/award_nomination/award,0
/m/011lvx,/music/artist/track_contributions./music/track_contribution/role,1
/m/011lvx,/people/person/profession,1
/m/011lvx,/people/person/spouse_s./people/marriage/type_of_union,1
/m/011s0,/education/field_of_study/students_majoring./education/education/student,1
/m/011s9r,/people/deceased_person/place_of_death,1
/m/011s9r,/people/person/nationality,1
/m/011s9r,/people/person/places_lived./people/place_lived/location,1
/m/011v3,/soccer/football_team/current_roster./soccer/football_roster_position/position,0
/m/011v3,/soccer/football_team/current_roster./sports/sports_team_roster/position,0
/m/011v3,/sports/sports_team/colors,0
/m/011vx3,/people/person/nationality,1
/m/011vx3,/people/person/religion,1
/m/011w20,/people/deceased_person/place_of_death,1
/m/011w20,/people/person/profession,0
/m/011w54,/award/award_category/winners./award/award_honor/award_winner,1
/m/011w54,/common/topic/webpage./common/webpage/category,1
/m/011wtv,/film/film/featured_film_locations,0
/m/011wtv,/film/film/genre,1
/m/011wtv,/film/film/other_crew./film/film_crew_gig/crewmember,0
/m/011x_4,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,1
/m/011x_4,/film/film/featured_film_locations,0
/m/011x_4,/film/film/genre,0
/m/011x_4,/film/film/language,1
/m/011xg5,/common/topic/webpage./common/webpage/category,1
/m/011xg5,/film/film/country,1
