e2,rel,n
/m/010016,/location/location/contains,0
/m/0100mt,/location/location/contains,0
/m/0100mt,/people/person/place_of_birth,0
/m/0100mt,/people/person/places_lived./people/place_lived/location,0
/m/0102t4,/location/location/contains,0
/m/0104lr,/location/hud_county_place/place,0
/m/0104lr,/location/location/contains,0
/m/0104lr,/people/person/places_lived./people/place_lived/location,0
/m/0105y2,/location/location/contains,0
/m/0106dv,/location/hud_county_place/place,1
/m/0106dv,/location/location/contains,0
/m/0106dv,/people/person/place_of_birth,1
/m/0106dv,/people/person/places_lived./people/place_lived/location,0
/m/0108xl,/location/location/contains,0
/m/0109vk,/location/location/contains,0
/m/010bnr,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,1
/m/010bnr,/location/hud_county_place/place,1
/m/010bnr,/location/location/contains,0
/m/010bxh,/location/location/contains,0
/m/010cw1,/location/hud_county_place/place,1
/m/010h9y,/time/event/locations,1
/m/010hn,/music/genre/artists,1
/m/010hn,/music/instrument/instrumentalists,0
/m/010hn,/music/record_label/artist,1
/m/010m55,/location/location/contains,0
/m/010nlt,/people/person/places_lived./people/place_lived/location,1
/m/010r6f,/location/location/contains,0
/m/010r6f,/organization/organization/headquarters./location/mailing_address/citytown,0
/m/010rvx,/location/hud_county_place/place,0
/m/010rvx,/location/location/contains,0
/m/010rvx,/people/person/place_of_birth,0
/m/010rvx,/people/person/places_lived./people/place_lived/location,0
/m/010t4v,/location/location/contains,0
/m/010t4v,/people/person/place_of_birth,1
/m/010tkc,/location/location/contains,0
/m/010tkc,/people/person/place_of_birth,1
/m/010v8k,/people/person/place_of_birth,0
/m/010v8k,/people/person/places_lived./people/place_lived/location,0
/m/010xjr,/award/award_category/winners./award/award_honor/award_winner,0
/m/010xjr,/education/educational_institution/students_graduates./education/education/student,1
/m/010xjr,/people/cause_of_death/people,1
/m/010z5n,/location/location/contains,1
/m/0113sg,/influence/influence_node/influenced_by,0
/m/0114m0,/location/hud_county_place/place,1
/m/0114m0,/location/location/contains,0
/m/0114m0,/location/us_county/county_seat,0
/m/0118d3,/location/hud_county_place/place,1
/m/011_3s,/award/award_category/winners./award/award_honor/award_winner,0
/m/011_3s,/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0
/m/011_3s,/education/educational_institution/students_graduates./education/education/student,1
/m/011_6p,/music/artist/track_contributions./music/track_contribution/role,1
/m/011_6p,/music/performance_role/regular_performances./music/group_membership/role,1
/m/011_6p,/music/performance_role/track_performances./music/track_contribution/role,0
/m/011_vz,/music/genre/artists,0
/m/011_vz,/music/group_member/membership./music/group_membership/group,0
/m/011_vz,/music/performance_role/regular_performances./music/group_membership/group,0
/m/011hq1,/people/person/places_lived./people/place_lived/location,1
/m/011j5x,/music/genre/parent_genre,0
/m/011k1h,/organization/organization/child./organization/organization_relationship/child,1
/m/011k4g,/music/genre/artists,1
/m/011k_j,/music/artist/track_contributions./music/track_contribution/role,0
/m/011k_j,/music/group_member/membership./music/group_membership/role,1
/m/011k_j,/music/performance_role/guest_performances./music/recording_contribution/performance_role,0
/m/011k_j,/music/performance_role/regular_performances./music/group_membership/role,0
/m/011k_j,/music/performance_role/track_performances./music/track_contribution/role,0
/m/011lpr,/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,1
/m/011lvx,/education/educational_institution/students_graduates./education/education/student,1
/m/011s0,/business/business_operation/industry,1
/m/011s0,/education/educational_degree/people_with_this_degree./education/education/major_field_of_study,0
/m/011s0,/education/educational_institution/students_graduates./education/education/major_field_of_study,1
/m/011s0,/education/field_of_study/students_majoring./education/education/major_field_of_study,0
/m/011s9r,/film/film/story_by,1
/m/011s9r,/film/film/written_by,1
/m/011v3,/sports/sports_league/teams./sports/sports_league_participation/team,0
/m/011v3,/sports/sports_position/players./sports/sports_team_roster/team,0
