------------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
Name                                               CPU time        CUDA time            Calls        CPU total       CUDA total
------------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------
cat                                               809.123us        144.192us                1        809.123us        144.192us
tensor                                             11.309us          1.792us                1         11.309us          1.792us
norm                                              123.888us        599.744us                1        123.888us        599.744us
view                                               15.935us          1.696us                1         15.935us          1.696us
expand                                             15.936us          1.856us                1         15.936us          1.856us
div                                               603.502us        431.328us                1        603.502us        431.328us
slice                                              24.160us          5.152us                1         24.160us          5.152us
as_strided                                          9.253us          1.760us                1          9.253us          1.760us
slice                                               9.253us          5.280us                1          9.253us          5.280us
as_strided                                          4.112us          1.888us                1          4.112us          1.888us
slice                                               7.710us          4.992us                1          7.710us          4.992us
as_strided                                          3.598us          1.632us                1          3.598us          1.632us
clone                                              50.891us         10.817us                1         50.891us         10.817us
embedding                                          68.370us         62.336us                1         68.370us         62.336us
view                                                9.767us          1.760us                1          9.767us          1.760us
clone                                              14.908us          6.815us                1         14.908us          6.815us
embedding                                         424.096us         56.511us                1        424.096us         56.511us
view                                               17.992us          1.633us                1         17.992us          1.633us
clone                                              15.936us         10.817us                1         15.936us         10.817us
embedding                                          24.675us         67.648us                1         24.675us         67.648us
view                                                6.683us          1.698us                1          6.683us          1.698us
tensor                                            443.116us          1.793us                1        443.116us          1.793us
clone                                              24.675us         12.703us                1         24.675us         12.703us
embedding                                          36.498us          9.026us                1         36.498us          9.026us
view                                               11.309us          1.791us                1         11.309us          1.791us
expand                                             34.441us          2.113us                1         34.441us          2.113us
expand                                             16.964us          1.823us                1         16.964us          1.823us
mul                                                81.220us         23.682us                1         81.220us         23.682us
add                                               547.983us         88.989us                1        547.983us         88.989us
sub                                                29.815us         57.217us                1         29.815us         57.217us
unsqueeze                                          20.563us          1.793us                1         20.563us          1.793us
exp                                             41029.345us         47.546us                1      41029.345us         47.546us
add                                               419.983us         55.290us                1        419.983us         55.290us
log                                             10157.224us         33.707us                1      10157.224us         33.707us
unsqueeze                                          24.161us          2.167us                1         24.161us          2.167us
eye                                              9272.020us         68.863us                1       9272.020us         68.863us
expand                                              8.225us          2.014us                1          8.225us          2.014us
expand                                              5.655us          1.785us                1          5.655us          1.785us
mul                                              2085.010us       1478.714us                1       2085.010us       1478.714us
transpose                                       13002.007us          1.770us                1      13002.007us          1.770us
matmul                                        1688716.737us    1623650.543us                1    1688716.737us    1623650.543us
expand                                             16.964us          1.770us                1         16.964us          1.770us
view                                                8.225us          1.724us                1          8.225us          1.724us
expand                                              3.599us          1.755us                1          3.599us          1.755us
view                                                3.598us          1.724us                1          3.598us          1.724us
bmm                                           1646512.775us    1623629.242us                1    1646512.775us    1623629.242us
_unsafe_view                                      619.951us          2.075us                1        619.951us          2.075us
matmul                                             82.249us       3826.660us                1         82.249us       3826.660us
expand                                              6.169us          1.709us                1          6.169us          1.709us
view                                                4.627us          1.587us                1          4.627us          1.587us
expand                                              3.084us          1.709us                1          3.084us          1.709us
view                                                3.085us          1.831us                1          3.085us          1.831us
bmm                                                39.582us       3806.152us                1         39.582us       3806.152us
_unsafe_view                                        4.112us          1.709us                1          4.112us          1.709us
squeeze                                         11461.383us          1.831us                1      11461.383us          1.831us
eq                                              18774.337us          7.568us                1      18774.337us          7.568us
any                                             29126.903us      12238.281us                1      29126.903us      12238.281us
is_nonzero                                         78.651us         87.402us                1         78.651us         87.402us
add                                                18.506us          6.592us                1         18.506us          6.592us
add                                                10.796us          5.737us                1         10.796us          5.737us
reciprocal                                      13095.052us          8.545us                1      13095.052us          8.545us
mul                                                24.674us          6.592us                1         24.674us          6.592us
eq                                                 13.880us          7.446us                1         13.880us          7.446us
tensor                                              4.627us          1.709us                1          4.627us          1.709us
unsqueeze                                           7.197us          1.831us                1          7.197us          1.831us
mul                                                32.386us          7.568us                1         32.386us          7.568us
neg                                                16.450us          7.690us                1         16.450us          7.690us
add                                                12.337us          6.592us                1         12.337us          6.592us
neg                                                 9.253us          5.859us                1          9.253us          5.859us
add                                                11.823us          6.470us                1         11.823us          6.470us
mul                                                11.824us          6.714us                1         11.824us          6.714us
add                                                11.823us         15.625us                1         11.823us         15.625us
tensor                                              5.654us          1.831us                1          5.654us          1.831us
log                                                17.992us          9.033us                1         17.992us          9.033us
nll_loss                                        23786.379us         22.095us                1      23786.379us         22.095us
nll_loss_forward                                23261.528us         18.555us                1      23261.528us         18.555us
view                                                8.739us          1.831us                1          8.739us          1.831us
norm                                              801.413us        115.356us                1        801.413us        115.356us
pow                                               861.557us          6.714us                1        861.557us          6.714us
mul                                                14.394us          6.470us                1         14.394us          6.470us
add                                                13.365us          5.737us                1         13.365us          5.737us
is_floating_point                                   2.570us          1.709us                1          2.570us          1.709us
ones_like                                          36.497us         12.817us                1         36.497us         12.817us
tensor                                              7.197us          1.953us                1          7.197us          1.953us
fill_                                              10.795us          5.737us                1         10.795us          5.737us
struct torch::autograd::GraphRoot                   5.654us          1.831us                1          5.654us          1.831us
AddBackward1                                       23.646us          1.831us                1         23.646us          1.831us
NllLossBackward                                   455.967us        864.624us                1        455.967us        864.624us
nll_loss_backward                                 136.739us        861.084us                1        136.739us        861.084us
LogBackward                                       370.120us         11.108us                1        370.120us         11.108us
div                                               359.325us          7.690us                1        359.325us          7.690us
AddBackward1                                        5.141us          1.709us                1          5.141us          1.709us
MulBackward1                                       16.450us         10.376us                1         16.450us         10.376us
mul                                                10.281us          6.836us                1         10.281us          6.836us
AddBackward0                                        3.598us          1.831us                1          3.598us          1.831us
NegBackward                                       319.743us         10.254us                1        319.743us         10.254us
neg                                                17.992us          6.714us                1         17.992us          6.714us
MulBackward1                                       12.852us         10.010us                1         12.852us         10.010us
mul                                                 8.224us          6.592us                1          8.224us          6.592us
add                                                 8.225us          6.592us                1          8.225us          6.592us
MulBackward0                                       19.020us         13.184us                1         19.020us         13.184us
mul                                                11.309us          9.766us                1         11.309us          9.766us
ReciprocalBackward                                 28.273us         27.100us                1         28.273us         27.100us
neg                                                 6.682us          5.859us                1          6.682us          5.859us
mul                                                 6.682us          7.568us                1          6.682us          7.568us
mul                                                 6.168us          6.592us                1          6.168us          6.592us
AddBackward0                                        1.542us          1.709us                1          1.542us          1.709us
AddBackward0                                        1.542us          1.709us                1          1.542us          1.709us
SqueezeBackward1                                   12.337us          5.127us                1         12.337us          5.127us
unsqueeze                                           6.683us          1.709us                1          6.683us          1.709us
UnsafeViewBackward                                 11.309us          5.371us                1         11.309us          5.371us
view                                                6.683us          1.709us                1          6.683us          1.709us
BmmBackward                                        50.377us       3302.490us                1         50.377us       3302.490us
transpose                                           3.084us          1.709us                1          3.084us          1.709us
bmm                                                22.105us       1637.695us                1         22.105us       1637.695us
transpose                                           2.570us          1.709us                1          2.570us          1.709us
bmm                                                 8.225us       1652.344us                1          8.225us       1652.344us
ViewBackward                                        7.711us          5.371us                1          7.711us          5.371us
view                                                4.113us          1.953us                1          4.113us          1.953us
ExpandBackward                                    331.565us          1.709us                1        331.565us          1.709us
ViewBackward                                       10.281us          5.127us                1         10.281us          5.127us
view                                                6.169us          1.709us                1          6.169us          1.709us
ExpandBackward                                      2.056us          1.953us                1          2.056us          1.953us
UnsafeViewBackward                                  6.169us          5.615us                1          6.169us          5.615us
view                                                3.084us          1.953us                1          3.084us          1.953us
BmmBackward                                      2143.612us       5684.570us                1       2143.612us       5684.570us
transpose                                           2.570us          1.709us                1          2.570us          1.709us
bmm                                              2113.282us       1761.963us                1       2113.282us       1761.963us
transpose                                           4.112us          1.709us                1          4.112us          1.709us
bmm                                                11.309us       3910.156us                1         11.309us       3910.156us
ViewBackward                                        8.739us          5.371us                1          8.739us          5.371us
view                                                4.626us          1.709us                1          4.626us          1.709us
ExpandBackward                                      1.542us          1.709us                1          1.542us          1.709us
